Designator,Mid X,Mid Y,Rotation,Layer
C1,77.265,-102.235,0.0,top
C10,104.2942,-110.236,180.0,top
C11,61.595,-160.655,0.0,top
C12,77.4,-176.111299,0.0,top
C13,127.988068,-113.30793,270.0,top
C14,93.612,-176.108,0.0,top
C15,93.612,-177.858,180.0,top
C16,93.612,-168.108,180.0,top
C17,93.32,-130.885,0.0,top
C18,121.666,-110.236,0.0,top
C19,77.4,-177.611299,180.0,top
C2,59.993,-102.235,180.0,top
C20,93.612,-165.608,0.0,top
C23,77.4,-168.111299,180.0,top
C24,77.4,-165.611299,0.0,top
C3,59.993,-83.459955,180.0,top
C4,59.993,-110.236,180.0,top
C5,77.265,-110.236,180.0,top
C6,59.993,-117.856,180.0,top
C7,104.2942,-102.235,180.0,top
C8,121.666,-102.235,0.0,top
C9,127.988068,-95.52793,270.0,top
D1,41.4274,-65.91069,270.0,top
D10,131.445,-86.0275,90.0,top
D2,41.4274,-72.55129,270.0,top
D3,49.6825,-172.72,0.0,top
D4,97.155,-181.61,0.0,top
D5,77.47,-181.61,0.0,top
D6,40.7925,-161.29,0.0,top
D7,40.7925,-158.115,0.0,top
D8,93.7825,-119.11,180.0,top
D9,131.445,-78.105,90.0,top
FB1,61.595,-158.75,180.0,top
J2,44.069,-146.812,0.0,top
J4,62.23,-179.945,0.0,top
JP3,88.9,-157.48,180.0,top
JP4,81.915,-157.48,180.0,top
JX1,113.03,-99.159873,270.0,top
JX2,68.58,-99.159873,270.0,top
L2,89.612,-169.858,90.0,top
L3,73.4,-169.861299,90.0,top
Q1,126.0625,-79.375,180.0,top
Q2,126.0325,-85.405,180.0,top
Q3,44.6255,-66.14814,0.0,top
Q4,44.6555,-72.6846,0.0,top
R1,125.8007,-72.43,0.0,top
R10,96.52,-130.81,90.0,top
R11,80.9,-172.611299,90.0,top
R12,89.72,-127.26,90.0,top
R13,44.6025,-161.29,180.0,top
R14,89.72,-130.785,270.0,top
R15,44.6025,-158.115,180.0,top
R16,96.52,-127.31,90.0,top
R17,39.37,-66.14814,270.0,top
R18,39.37,-72.6846,270.0,top
R19,131.798068,-95.52793,270.0,top
R2,122.1807,-74.335,270.0,top
R20,131.798068,-113.30793,270.0,top
R21,131.445,-74.295,0.0,top
R22,129.893068,-95.52793,270.0,top
R23,87.72,-127.285,270.0,top
R24,131.445,-82.55,0.0,top
R25,45.72,-172.72,180.0,top
R26,93.535,-181.61,180.0,top
R27,129.893068,-113.30793,270.0,top
R28,59.69,-170.625,90.0,top
R29,65.405,-170.625,90.0,top
R3,60.325,-167.005,180.0,top
R30,73.85,-181.61,180.0,top
R4,63.5,-167.64,90.0,top
R5,98.425,-135.255,180.0,top
R6,99.112,-172.608,270.0,top
R7,91.895,-123.86,180.0,top
R8,97.112,-172.608,90.0,top
R9,82.9,-172.611299,270.0,top
SW1,129.830068,-102.30993,90.0,top
SW2,129.921,-120.180862,90.0,top
U1,92.82,-127.285,0.0,top
U2,94.112,-172.108,90.0,top
U3,54.9275,-159.445,270.0,top
U7,40.64,-91.44,270.0,top
U8,40.64,-110.1725,270.0,top
U9,77.9,-172.111299,90.0,top
